d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
1,Sector 14,29.5852766,-94.7047493,12987,13418,12683,11859,11860,11808,11636,11596,10785,13274,13241,14957,14569,14929,15384,14701,1,Sector 1,29.1942643,-95.1667898
1,Sector 14,29.5852766,-94.7047493,702,684,608,510,507,481,566,545,534,521,564,508,460,403,420,408,2,Sector 2,29.1829815,-95.6401906
1,Sector 14,29.5852766,-94.7047493,5536,5343,4992,4992,5167,5022,5062,4638,4359,4725,4565,4228,3824,3602,3528,3793,3,Sector 3,29.4803873,-95.2866936
1,Sector 14,29.5852766,-94.7047493,861,820,761,819,811,726,758,539,597,522,520,468,435,407,442,395,4,Sector 4,29.5132495,-95.539945
1,Sector 14,29.5852766,-94.7047493,943,1043,1035,1080,960,942,955,923,832,997,827,882,760,759,788,731,5,Sector 5,29.6374507,-95.3108203
1,Sector 14,29.5852766,-94.7047493,627,596,627,605,634,570,546,604,586,599,584,563,495,450,457,450,6,Sector 6,29.6516129,-95.4641014
1,Sector 14,29.5852766,-94.7047493,360,294,301,326,322,292,307,268,209,242,252,181,218,197,193,192,7,Sector 7,29.6242447,-95.8964391
1,Sector 14,29.5852766,-94.7047493,1753,1831,1939,1955,1830,1634,1725,1736,1879,1896,1734,1822,1644,1609,1631,1527,8,Sector 8,29.6987915,-95.2098515
1,Sector 14,29.5852766,-94.7047493,851,852,882,888,791,676,771,872,760,852,860,713,720,717,615,686,9,Sector 9,29.6987447,-95.6599566
1,Sector 14,29.5852766,-94.7047493,304,293,264,306,230,244,231,300,282,300,309,289,249,235,246,222,10,Sector 10,29.7392491,-95.5184975
1,Sector 14,29.5852766,-94.7047493,1117,1097,1272,1195,1228,1187,1199,1044,1099,1088,998,1005,911,832,768,883,11,Sector 11,29.7452418,-95.3666589
1,Sector 14,29.5852766,-94.7047493,9292,9073,9547,9279,9181,8843,8145,8234,7624,7931,8098,8474,8010,7664,7117,7110,12,Sector 12,29.6681125,-95.0502741
1,Sector 14,29.5852766,-94.7047493,158,137,144,156,146,140,143,169,190,182,165,155,177,142,137,152,13,Sector 13,29.8194315,-95.5180585
1,Sector 14,29.5852766,-94.7047493,334,344,345,353,250,259,288,348,343,374,323,299,299,284,283,284,15,Sector 15,29.8781997,-95.4654402
1,Sector 14,29.5852766,-94.7047493,246,259,255,257,197,221,176,282,272,341,290,293,232,210,215,192,16,Sector 16,29.8814437,-95.3618019
1,Sector 14,29.5852766,-94.7047493,655,694,782,747,684,620,650,578,638,674,708,630,561,501,478,547,17,Sector 17,29.8502378,-95.2479191
1,Sector 14,29.5852766,-94.7047493,419,416,455,434,557,568,557,330,283,352,268,329,278,258,258,256,18,Sector 18,29.8675793,-95.6774241
1,Sector 14,29.5852766,-94.7047493,736,709,796,764,809,742,729,677,606,707,633,629,507,553,536,517,19,Sector 19,29.9992377,-95.5717887
1,Sector 14,29.5852766,-94.7047493,77,56,70,50,62,81,89,63,49,70,72,52,54,44,50,62,20,Sector 20,29.9302685,-95.9538541
1,Sector 14,29.5852766,-94.7047493,340,348,357,366,353,329,313,266,207,266,236,192,180,186,171,190,21,Sector 21,30.0391699,-95.3377273
1,Sector 14,29.5852766,-94.7047493,1403,1487,1647,1605,1452,1436,1399,1223,1030,1268,1258,1218,1118,988,852,770,22,Sector 22,29.9578635,-95.085083
1,Sector 14,29.5852766,-94.7047493,1172,1107,1459,1779,2028,2064,1614,1166,1014,965,841,830,760,737,610,629,23,Sector 23,30.1293246,-94.7878595
1,Sector 14,29.5852766,-94.7047493,458,418,422,403,443,474,428,420,428,378,342,325,268,281,248,237,24,Sector 24,30.3016492,-95.3328725
1,Sector 14,29.5852766,-94.7047493,502,462,502,493,540,523,530,461,460,465,419,387,368,361,342,302,25,Sector 25,30.2596836,-95.7269317
