h_id,h_sector,h_lat,h_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,Workers2011,Workers2009,d_id,d_sector,d_lat,d_lon
1,Sector 12,29.6266851,-95.1006781,8023,7325,7181,6639,6661,6279,1,Sector 1,29.1296714,-95.135883
1,Sector 12,29.6266851,-95.1006781,1637,1390,1336,1260,1245,1125,2,Sector 2,29.2432001,-95.693312
1,Sector 12,29.6266851,-95.1006781,19907,20393,19506,19319,19538,18224,3,Sector 3,29.4284286,-95.3108234
1,Sector 12,29.6266851,-95.1006781,3002,2882,2772,2604,2690,2226,4,Sector 4,29.4878782,-95.5932727
1,Sector 12,29.6266851,-95.1006781,4826,4515,4158,3852,3664,3127,5,Sector 5,29.6409475,-95.3523606
1,Sector 12,29.6266851,-95.1006781,2339,2319,2218,2078,2050,2011,6,Sector 6,29.627213,-95.441012
1,Sector 12,29.6266851,-95.1006781,1482,1286,1219,1176,1160,732,7,Sector 7,29.6309501,-95.955476
1,Sector 12,29.6266851,-95.1006781,12791,12492,11395,10698,10178,10453,8,Sector 8,29.7402271,-95.1866561
1,Sector 12,29.6266851,-95.1006781,3914,3567,3452,3403,3426,3270,9,Sector 9,29.7273462,-95.714563
1,Sector 12,29.6266851,-95.1006781,1331,1101,1140,1039,1155,1180,10,Sector 10,29.7143441,-95.5392633
1,Sector 12,29.6266851,-95.1006781,6187,5708,5446,4987,4931,4801,11,Sector 11,29.7671053,-95.3149995
1,Sector 12,29.6266851,-95.1006781,711,641,650,648,641,664,13,Sector 13,29.8093129,-95.4860029
1,Sector 12,29.6266851,-95.1006781,12737,12708,11892,11445,10938,10083,14,Sector 14,29.6764419,-94.5694718
1,Sector 12,29.6266851,-95.1006781,1790,1496,1424,1472,1400,1440,15,Sector 15,29.9168719,-95.4446588
1,Sector 12,29.6266851,-95.1006781,1388,1280,1103,1076,1001,1123,16,Sector 16,29.8508216,-95.3633422
1,Sector 12,29.6266851,-95.1006781,4883,4531,3997,3668,3491,3313,17,Sector 17,29.8161969,-95.2125728
1,Sector 12,29.6266851,-95.1006781,2170,2037,1962,2000,1994,1350,18,Sector 18,29.8364141,-95.7069392
1,Sector 12,29.6266851,-95.1006781,4021,3738,3445,3272,3528,2705,19,Sector 19,30.003221,-95.5040004
1,Sector 12,29.6266851,-95.1006781,315,300,232,227,213,238,20,Sector 20,29.9115394,-96.0087606
1,Sector 12,29.6266851,-95.1006781,2017,1936,1729,1560,1529,1047,21,Sector 21,30.0387541,-95.2928074
1,Sector 12,29.6266851,-95.1006781,12983,12119,11002,10423,9893,8089,22,Sector 22,29.9283957,-95.0048084
1,Sector 12,29.6266851,-95.1006781,4241,3965,4372,4418,4290,3180,23,Sector 23,30.1273154,-94.7167391
1,Sector 12,29.6266851,-95.1006781,1909,1737,1661,1593,1475,1428,24,Sector 24,30.2962874,-95.2792697
1,Sector 12,29.6266851,-95.1006781,2662,2407,2356,2120,2129,1908,25,Sector 25,30.2608305,-95.6333457
