d_id,d_sector,d_lat,d_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,Workers2011,Workers2009,h_id,h_sector,h_lat,h_lon
1,Sector 18,29.8675793,-95.6774241,973,1008,990,871,835,794,1,Sector 1,29.1942643,-95.1667898
1,Sector 18,29.8675793,-95.6774241,971,1000,938,912,844,687,2,Sector 2,29.1829815,-95.6401906
1,Sector 18,29.8675793,-95.6774241,2049,2042,2008,1722,1578,1405,3,Sector 3,29.4803873,-95.2866936
1,Sector 18,29.8675793,-95.6774241,3836,3800,3755,3330,2812,3342,4,Sector 4,29.5132495,-95.539945
1,Sector 18,29.8675793,-95.6774241,1108,1067,1071,1009,806,867,5,Sector 5,29.6374507,-95.3108203
1,Sector 18,29.8675793,-95.6774241,2551,2925,2673,2415,1894,2141,6,Sector 6,29.6516129,-95.4641014
1,Sector 18,29.8675793,-95.6774241,5978,6218,5627,5016,3527,1829,7,Sector 7,29.6242447,-95.8964391
1,Sector 18,29.8675793,-95.6774241,1363,1294,1273,1188,1024,1303,8,Sector 8,29.6987915,-95.2098515
1,Sector 18,29.8675793,-95.6774241,15162,16806,15515,14641,12305,11532,9,Sector 9,29.6987447,-95.6599566
1,Sector 18,29.8675793,-95.6774241,3120,3512,3340,3060,2529,2567,10,Sector 10,29.7392491,-95.5184975
1,Sector 18,29.8675793,-95.6774241,5596,5892,5228,4673,3822,3989,11,Sector 11,29.7452418,-95.3666589
1,Sector 18,29.8675793,-95.6774241,1791,1958,1891,1691,1595,1519,12,Sector 12,29.6681125,-95.0502741
1,Sector 18,29.8675793,-95.6774241,3589,3871,3624,3231,2781,3225,13,Sector 13,29.8194315,-95.5180585
1,Sector 18,29.8675793,-95.6774241,698,720,742,678,587,574,14,Sector 14,29.5852766,-94.7047493
1,Sector 18,29.8675793,-95.6774241,5076,5286,5207,4705,3976,4048,15,Sector 15,29.8781997,-95.4654402
1,Sector 18,29.8675793,-95.6774241,1804,1973,1907,1668,1431,1682,16,Sector 16,29.8814437,-95.3618019
1,Sector 18,29.8675793,-95.6774241,1353,1422,1374,1245,1073,1185,17,Sector 17,29.8502378,-95.2479191
1,Sector 18,29.8675793,-95.6774241,15211,16415,14960,14186,12212,9773,19,Sector 19,29.9992377,-95.5717887
1,Sector 18,29.8675793,-95.6774241,2182,2167,1995,1991,1571,1489,20,Sector 20,29.9302685,-95.9538541
1,Sector 18,29.8675793,-95.6774241,2275,2512,2288,2024,1713,1273,21,Sector 21,30.0391699,-95.3377273
1,Sector 18,29.8675793,-95.6774241,2951,3037,2890,2670,2373,1953,22,Sector 22,29.9578635,-95.085083
1,Sector 18,29.8675793,-95.6774241,770,728,816,854,756,534,23,Sector 23,30.1293246,-94.7878595
1,Sector 18,29.8675793,-95.6774241,1847,1874,1831,1665,1293,1247,24,Sector 24,30.3016492,-95.3328725
1,Sector 18,29.8675793,-95.6774241,5289,5231,5006,4624,3834,3727,25,Sector 25,30.2596836,-95.7269317
