h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
1,Sector 21,30.0391699,-95.3377273,300,245,256,277,272,246,254,171,135,183,163,128,109,116,104,117,1,Sector 1,29.1942643,-95.1667898
1,Sector 21,30.0391699,-95.3377273,122,121,138,148,163,141,125,89,63,96,103,66,67,86,56,65,2,Sector 2,29.1829815,-95.6401906
1,Sector 21,30.0391699,-95.3377273,622,543,525,539,491,474,472,365,275,305,297,237,243,302,269,266,3,Sector 3,29.4803873,-95.2866936
1,Sector 21,30.0391699,-95.3377273,967,926,914,797,741,723,744,548,458,556,500,423,374,385,323,320,4,Sector 4,29.5132495,-95.539945
1,Sector 21,30.0391699,-95.3377273,853,803,849,810,786,809,852,785,608,687,671,610,559,610,560,527,5,Sector 5,29.6374507,-95.3108203
1,Sector 21,30.0391699,-95.3377273,1155,1164,1165,1173,1098,1112,1090,978,708,893,847,833,794,811,670,650,6,Sector 6,29.6516129,-95.4641014
1,Sector 21,30.0391699,-95.3377273,359,384,307,291,281,268,199,172,128,158,131,111,87,107,87,92,7,Sector 7,29.6242447,-95.8964391
1,Sector 21,30.0391699,-95.3377273,1207,1150,1271,1123,1120,1150,1104,952,699,912,803,621,557,593,573,538,8,Sector 8,29.6987915,-95.2098515
1,Sector 21,30.0391699,-95.3377273,2420,2380,2331,2341,2258,2225,2078,1714,1342,1655,1574,1323,1201,1185,1109,1122,9,Sector 9,29.6987447,-95.6599566
1,Sector 21,30.0391699,-95.3377273,4054,4275,4445,4031,3810,3753,3788,3354,2524,3371,3264,2784,2600,2672,2543,2580,10,Sector 10,29.7392491,-95.5184975
1,Sector 21,30.0391699,-95.3377273,12887,13228,13250,12709,12324,12096,12656,12171,8107,10577,9794,8543,8549,8487,8074,7753,11,Sector 11,29.7452418,-95.3666589
1,Sector 21,30.0391699,-95.3377273,2017,1959,1936,1729,1560,1554,1529,1288,1047,1226,1132,856,871,844,744,705,12,Sector 12,29.6681125,-95.0502741
1,Sector 21,30.0391699,-95.3377273,2606,2437,2677,2519,2252,2245,2248,2130,1734,2281,2093,1758,1655,1662,1481,1546,13,Sector 13,29.8194315,-95.5180585
1,Sector 21,30.0391699,-95.3377273,340,348,357,366,353,329,313,266,207,266,236,192,180,186,171,190,14,Sector 14,29.5852766,-94.7047493
1,Sector 21,30.0391699,-95.3377273,3398,3358,3405,3135,2984,2942,2778,2430,2047,2681,2490,2207,2101,2106,1954,2041,15,Sector 15,29.8781997,-95.4654402
1,Sector 21,30.0391699,-95.3377273,4919,4884,5069,4598,4630,4465,4398,4252,3366,4097,3736,3563,3502,3567,3567,3928,16,Sector 16,29.8814437,-95.3618019
1,Sector 21,30.0391699,-95.3377273,1089,1028,1130,1089,1047,1062,968,871,686,920,902,749,645,591,651,584,17,Sector 17,29.8502378,-95.2479191
1,Sector 21,30.0391699,-95.3377273,2275,2407,2512,2288,2024,1924,1713,1452,1273,1381,1335,1158,1065,1026,888,923,18,Sector 18,29.8675793,-95.6774241
1,Sector 21,30.0391699,-95.3377273,10084,10218,10441,9547,9192,9142,8173,7279,6274,7725,7714,7234,6800,6774,6392,6274,19,Sector 19,29.9992377,-95.5717887
1,Sector 21,30.0391699,-95.3377273,165,135,145,141,133,127,159,106,88,102,139,93,75,71,65,52,20,Sector 20,29.9302685,-95.9538541
1,Sector 21,30.0391699,-95.3377273,3861,4028,3861,3585,3350,3170,2860,2387,2140,2327,2326,2124,1925,1880,1813,1993,22,Sector 22,29.9578635,-95.085083
1,Sector 21,30.0391699,-95.3377273,763,695,692,625,632,527,257,218,174,271,258,182,159,171,187,177,23,Sector 23,30.1293246,-94.7878595
1,Sector 21,30.0391699,-95.3377273,2266,2142,2353,2106,2176,2078,1525,1142,1037,1181,1180,1005,1055,999,851,818,24,Sector 24,30.3016492,-95.3328725
1,Sector 21,30.0391699,-95.3377273,6137,6241,5698,5343,4679,4423,4150,3213,2753,3250,3060,2533,2226,2096,2067,1635,25,Sector 25,30.2596836,-95.7269317
