d_id,d_sector,d_lat,d_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,Workers2011,Workers2009,h_id,h_sector,h_lat,h_lon
1,Sector 17,29.8502378,-95.2479191,318,338,336,337,323,374,1,Sector 1,29.1942643,-95.1667898
1,Sector 17,29.8502378,-95.2479191,143,155,156,140,138,127,2,Sector 2,29.1829815,-95.6401906
1,Sector 17,29.8502378,-95.2479191,946,1103,1081,1146,944,843,3,Sector 3,29.4803873,-95.2866936
1,Sector 17,29.8502378,-95.2479191,735,870,764,765,637,579,4,Sector 4,29.5132495,-95.539945
1,Sector 17,29.8502378,-95.2479191,1202,1271,1164,1196,1006,1066,5,Sector 5,29.6374507,-95.3108203
1,Sector 17,29.8502378,-95.2479191,814,935,836,880,761,727,6,Sector 6,29.6516129,-95.4641014
1,Sector 17,29.8502378,-95.2479191,359,371,345,350,268,164,7,Sector 7,29.6242447,-95.8964391
1,Sector 17,29.8502378,-95.2479191,2064,2389,2297,2246,1924,1969,8,Sector 8,29.6987915,-95.2098515
1,Sector 17,29.8502378,-95.2479191,1109,1244,1261,1208,927,971,9,Sector 9,29.6987447,-95.6599566
1,Sector 17,29.8502378,-95.2479191,432,542,494,457,429,451,10,Sector 10,29.7392491,-95.5184975
1,Sector 17,29.8502378,-95.2479191,2595,2880,2865,2869,2491,2765,11,Sector 11,29.7452418,-95.3666589
1,Sector 17,29.8502378,-95.2479191,1775,1945,1904,1846,1557,1577,12,Sector 12,29.6681125,-95.0502741
1,Sector 17,29.8502378,-95.2479191,329,319,296,361,296,396,13,Sector 13,29.8194315,-95.5180585
1,Sector 17,29.8502378,-95.2479191,409,517,470,508,395,419,14,Sector 14,29.5852766,-94.7047493
1,Sector 17,29.8502378,-95.2479191,1141,1387,1318,1391,1214,1300,15,Sector 15,29.8781997,-95.4654402
1,Sector 17,29.8502378,-95.2479191,1326,1234,1355,1469,1184,1341,16,Sector 16,29.8814437,-95.3618019
1,Sector 17,29.8502378,-95.2479191,834,855,891,835,771,446,18,Sector 18,29.8675793,-95.6774241
1,Sector 17,29.8502378,-95.2479191,1872,1892,1932,1975,1649,1416,19,Sector 19,29.9992377,-95.5717887
1,Sector 17,29.8502378,-95.2479191,109,113,105,110,94,79,20,Sector 20,29.9302685,-95.9538541
1,Sector 17,29.8502378,-95.2479191,1089,1130,1089,1047,968,686,21,Sector 21,30.0391699,-95.3377273
1,Sector 17,29.8502378,-95.2479191,3406,3638,3243,3496,3027,2748,22,Sector 22,29.9578635,-95.085083
1,Sector 17,29.8502378,-95.2479191,492,541,617,655,546,505,23,Sector 23,30.1293246,-94.7878595
1,Sector 17,29.8502378,-95.2479191,637,571,616,620,514,536,24,Sector 24,30.3016492,-95.3328725
1,Sector 17,29.8502378,-95.2479191,939,838,789,847,697,732,25,Sector 25,30.2596836,-95.7269317
