h_id,h_sector,h_lat,h_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,Workers2011,Workers2009,d_id,d_sector,d_lat,d_lon
1,Sector 7,29.6242447,-95.8964391,450,408,419,393,398,293,1,Sector 1,29.1942643,-95.1667898
1,Sector 7,29.6242447,-95.8964391,1261,1421,1263,1220,931,907,2,Sector 2,29.1829815,-95.6401906
1,Sector 7,29.6242447,-95.8964391,744,785,739,707,582,437,3,Sector 3,29.4803873,-95.2866936
1,Sector 7,29.6242447,-95.8964391,4650,4859,4783,4607,4214,2862,4,Sector 4,29.5132495,-95.539945
1,Sector 7,29.6242447,-95.8964391,598,588,645,577,559,353,5,Sector 5,29.6374507,-95.3108203
1,Sector 7,29.6242447,-95.8964391,1744,1935,1928,1666,1455,1043,6,Sector 6,29.6516129,-95.4641014
1,Sector 7,29.6242447,-95.8964391,855,778,757,686,685,442,8,Sector 8,29.6987915,-95.2098515
1,Sector 7,29.6242447,-95.8964391,13483,14141,12840,12989,10350,5065,9,Sector 9,29.6987447,-95.6599566
1,Sector 7,29.6242447,-95.8964391,8150,8471,7802,7508,6891,3263,10,Sector 10,29.7392491,-95.5184975
1,Sector 7,29.6242447,-95.8964391,12782,12866,12275,11838,10443,5134,11,Sector 11,29.7452418,-95.3666589
1,Sector 7,29.6242447,-95.8964391,1482,1286,1219,1176,1160,732,12,Sector 12,29.6681125,-95.0502741
1,Sector 7,29.6242447,-95.8964391,2315,2223,2181,2138,1757,1124,13,Sector 13,29.8194315,-95.5180585
1,Sector 7,29.6242447,-95.8964391,360,301,326,322,307,209,14,Sector 14,29.5852766,-94.7047493
1,Sector 7,29.6242447,-95.8964391,1646,1602,1481,1477,1204,847,15,Sector 15,29.8781997,-95.4654402
1,Sector 7,29.6242447,-95.8964391,950,837,814,802,691,447,16,Sector 16,29.8814437,-95.3618019
1,Sector 7,29.6242447,-95.8964391,359,371,345,350,268,164,17,Sector 17,29.8502378,-95.2479191
1,Sector 7,29.6242447,-95.8964391,5978,6218,5627,5016,3527,1829,18,Sector 18,29.8675793,-95.6774241
1,Sector 7,29.6242447,-95.8964391,3031,2923,2651,2582,2145,1175,19,Sector 19,29.9992377,-95.5717887
1,Sector 7,29.6242447,-95.8964391,4608,4269,3936,1144,1088,650,20,Sector 20,29.9302685,-95.9538541
1,Sector 7,29.6242447,-95.8964391,1381,1255,1193,1213,1149,552,21,Sector 21,30.0391699,-95.3377273
1,Sector 7,29.6242447,-95.8964391,478,484,472,445,361,258,22,Sector 22,29.9578635,-95.085083
1,Sector 7,29.6242447,-95.8964391,62,65,60,46,57,49,23,Sector 23,30.1293246,-94.7878595
1,Sector 7,29.6242447,-95.8964391,340,332,305,259,252,144,24,Sector 24,30.3016492,-95.3328725
1,Sector 7,29.6242447,-95.8964391,1125,964,892,795,610,433,25,Sector 25,30.2596836,-95.7269317
