h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
1,Sector 10,29.7392491,-95.5184975,280,277,236,221,197,160,178,219,197,241,227,206,187,198,198,210,1,Sector 1,29.1942643,-95.1667898
1,Sector 10,29.7392491,-95.5184975,173,216,236,208,180,193,132,136,166,145,135,133,139,115,132,121,2,Sector 2,29.1829815,-95.6401906
1,Sector 10,29.7392491,-95.5184975,651,633,633,635,585,581,565,517,556,521,462,498,429,487,461,377,3,Sector 3,29.4803873,-95.2866936
1,Sector 10,29.7392491,-95.5184975,2666,2718,2833,2469,2356,2318,2143,1909,2142,2073,1946,2006,1849,1898,1875,1835,4,Sector 4,29.5132495,-95.539945
1,Sector 10,29.7392491,-95.5184975,781,815,787,771,774,688,801,738,764,845,761,820,882,852,792,875,5,Sector 5,29.6374507,-95.3108203
1,Sector 10,29.7392491,-95.5184975,3517,3635,3709,3466,3281,3416,3146,3213,3591,3507,3677,4352,4189,4280,4449,4346,6,Sector 6,29.6516129,-95.4641014
1,Sector 10,29.7392491,-95.5184975,646,561,498,546,547,443,392,322,390,361,289,382,363,369,367,371,7,Sector 7,29.6242447,-95.8964391
1,Sector 10,29.7392491,-95.5184975,826,793,810,821,863,921,926,764,828,845,779,830,806,830,806,885,8,Sector 8,29.6987915,-95.2098515
1,Sector 10,29.7392491,-95.5184975,8456,8835,9508,8779,8508,8170,7604,6715,7275,7235,6844,7060,6818,6602,6390,7079,9,Sector 9,29.6987447,-95.6599566
1,Sector 10,29.7392491,-95.5184975,23541,23974,24502,23010,22202,21921,22430,22281,22219,22126,22060,23989,23559,23904,25052,27018,11,Sector 11,29.7452418,-95.3666589
1,Sector 10,29.7392491,-95.5184975,1331,1224,1101,1140,1039,1078,1155,1149,1180,1222,1210,1173,1065,1040,1089,1070,12,Sector 12,29.6681125,-95.0502741
1,Sector 10,29.7392491,-95.5184975,3865,4059,4350,3864,3775,3540,3292,3209,3611,3666,3661,4122,3932,3881,4052,4011,13,Sector 13,29.8194315,-95.5180585
1,Sector 10,29.7392491,-95.5184975,304,293,264,306,230,244,231,300,282,300,309,289,249,235,246,222,14,Sector 14,29.5852766,-94.7047493
1,Sector 10,29.7392491,-95.5184975,2489,2457,2630,2411,2363,2210,2134,1942,2207,2093,2195,2279,2141,2095,2437,2454,15,Sector 15,29.8781997,-95.4654402
1,Sector 10,29.7392491,-95.5184975,1085,1067,1138,1081,1118,1124,1061,1034,1028,1005,1004,1029,982,963,1145,1228,16,Sector 16,29.8814437,-95.3618019
1,Sector 10,29.7392491,-95.5184975,432,430,542,494,457,488,429,397,451,450,405,463,415,384,376,381,17,Sector 17,29.8502378,-95.2479191
1,Sector 10,29.7392491,-95.5184975,3120,3387,3512,3340,3060,2828,2529,2199,2567,2465,2477,2472,2186,2129,2184,2228,18,Sector 18,29.8675793,-95.6774241
1,Sector 10,29.7392491,-95.5184975,2618,2672,2833,2697,2673,2558,2529,2188,2407,2341,2448,2526,2489,2310,2332,2483,19,Sector 19,29.9992377,-95.5717887
1,Sector 10,29.7392491,-95.5184975,331,291,295,210,175,144,184,154,156,140,181,201,204,184,178,208,20,Sector 20,29.9302685,-95.9538541
1,Sector 10,29.7392491,-95.5184975,1279,1393,1479,1512,1409,1383,1470,1442,1671,1677,1732,1558,1612,1577,1620,1774,21,Sector 21,30.0391699,-95.3377273
1,Sector 10,29.7392491,-95.5184975,596,507,619,645,663,563,490,423,441,479,455,404,379,463,438,417,22,Sector 22,29.9578635,-95.085083
1,Sector 10,29.7392491,-95.5184975,60,65,62,74,56,58,63,58,70,68,79,70,67,69,70,52,23,Sector 23,30.1293246,-94.7878595
1,Sector 10,29.7392491,-95.5184975,298,288,308,289,257,251,242,212,271,243,289,271,253,221,340,287,24,Sector 24,30.3016492,-95.3328725
1,Sector 10,29.7392491,-95.5184975,1169,1162,979,987,873,833,743,749,814,787,700,790,681,598,607,528,25,Sector 25,30.2596836,-95.7269317
