h_id,h_sector,h_lat,h_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,Workers2011,Workers2009,d_id,d_sector,d_lat,d_lon
1,Sector 3,29.4803873,-95.2866936,3696,3585,3563,3515,3069,2729,1,Sector 1,29.1942643,-95.1667898
1,Sector 3,29.4803873,-95.2866936,1009,1095,982,900,859,760,2,Sector 2,29.1829815,-95.6401906
1,Sector 3,29.4803873,-95.2866936,3840,3774,3493,3291,2871,2837,4,Sector 4,29.5132495,-95.539945
1,Sector 3,29.4803873,-95.2866936,4981,5527,5352,5239,5025,4969,5,Sector 5,29.6374507,-95.3108203
1,Sector 3,29.4803873,-95.2866936,2719,2927,2822,2516,2434,2810,6,Sector 6,29.6516129,-95.4641014
1,Sector 3,29.4803873,-95.2866936,774,621,591,557,519,426,7,Sector 7,29.6242447,-95.8964391
1,Sector 3,29.4803873,-95.2866936,7685,7747,7357,7252,7175,6879,8,Sector 8,29.6987915,-95.2098515
1,Sector 3,29.4803873,-95.2866936,4899,4951,4982,5072,4588,4454,9,Sector 9,29.6987447,-95.6599566
1,Sector 3,29.4803873,-95.2866936,6682,6688,6360,6174,6524,6549,10,Sector 10,29.7392491,-95.5184975
1,Sector 3,29.4803873,-95.2866936,26832,27553,27369,25844,27396,29140,11,Sector 11,29.7452418,-95.3666589
1,Sector 3,29.4803873,-95.2866936,19907,20393,19506,19319,19538,18224,12,Sector 12,29.6681125,-95.0502741
1,Sector 3,29.4803873,-95.2866936,2067,2120,2205,2186,2171,2679,13,Sector 13,29.8194315,-95.5180585
1,Sector 3,29.4803873,-95.2866936,5536,4992,4992,5167,5062,4359,14,Sector 14,29.5852766,-94.7047493
1,Sector 3,29.4803873,-95.2866936,1915,1729,1717,1697,1717,1797,15,Sector 15,29.8781997,-95.4654402
1,Sector 3,29.4803873,-95.2866936,1185,1338,1316,1242,1247,1229,16,Sector 16,29.8814437,-95.3618019
1,Sector 3,29.4803873,-95.2866936,946,1103,1081,1146,944,843,17,Sector 17,29.8502378,-95.2479191
1,Sector 3,29.4803873,-95.2866936,2049,2042,2008,1722,1578,1405,18,Sector 18,29.8675793,-95.6774241
1,Sector 3,29.4803873,-95.2866936,2466,2371,2416,2305,2095,1997,19,Sector 19,29.9992377,-95.5717887
1,Sector 3,29.4803873,-95.2866936,188,129,136,127,148,135,20,Sector 20,29.9302685,-95.9538541
1,Sector 3,29.4803873,-95.2866936,1529,1552,1607,1588,1727,1913,21,Sector 21,30.0391699,-95.3377273
1,Sector 3,29.4803873,-95.2866936,1547,1523,1472,1412,1170,1042,22,Sector 22,29.9578635,-95.085083
1,Sector 3,29.4803873,-95.2866936,190,146,144,139,150,119,23,Sector 23,30.1293246,-94.7878595
1,Sector 3,29.4803873,-95.2866936,545,467,468,445,515,359,24,Sector 24,30.3016492,-95.3328725
1,Sector 3,29.4803873,-95.2866936,1501,1212,1171,1171,1006,949,25,Sector 25,30.2596836,-95.7269317
