h_id,h_sector,h_lat,h_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,Workers2011,Workers2009,d_id,d_sector,d_lat,d_lon
1,Sector 18,29.8675793,-95.6774241,433,442,383,513,543,304,1,Sector 1,29.1942643,-95.1667898
1,Sector 18,29.8675793,-95.6774241,330,371,318,336,286,187,2,Sector 2,29.1829815,-95.6401906
1,Sector 18,29.8675793,-95.6774241,977,869,882,825,827,536,3,Sector 3,29.4803873,-95.2866936
1,Sector 18,29.8675793,-95.6774241,2764,2616,2566,2496,2220,1631,4,Sector 4,29.5132495,-95.539945
1,Sector 18,29.8675793,-95.6774241,899,811,902,892,963,668,5,Sector 5,29.6374507,-95.3108203
1,Sector 18,29.8675793,-95.6774241,3032,3203,3184,3043,2916,2179,6,Sector 6,29.6516129,-95.4641014
1,Sector 18,29.8675793,-95.6774241,3417,2920,2746,2572,1885,1417,7,Sector 7,29.6242447,-95.8964391
1,Sector 18,29.8675793,-95.6774241,1135,1147,1080,1209,1247,785,8,Sector 8,29.6987915,-95.2098515
1,Sector 18,29.8675793,-95.6774241,15629,16743,15226,15710,13694,10340,9,Sector 9,29.6987447,-95.6599566
1,Sector 18,29.8675793,-95.6774241,14777,15513,14537,14246,14737,10255,10,Sector 10,29.7392491,-95.5184975
1,Sector 18,29.8675793,-95.6774241,24675,25150,24619,24248,25313,17456,11,Sector 11,29.7452418,-95.3666589
1,Sector 18,29.8675793,-95.6774241,2170,2037,1962,2000,1994,1350,12,Sector 12,29.6681125,-95.0502741
1,Sector 18,29.8675793,-95.6774241,9654,10324,9905,9739,9197,7511,13,Sector 13,29.8194315,-95.5180585
1,Sector 18,29.8675793,-95.6774241,419,455,434,557,557,283,14,Sector 14,29.5852766,-94.7047493
1,Sector 18,29.8675793,-95.6774241,6558,6879,6378,6597,5941,4347,15,Sector 15,29.8781997,-95.4654402
1,Sector 18,29.8675793,-95.6774241,2431,2606,2460,2537,2694,1707,16,Sector 16,29.8814437,-95.3618019
1,Sector 18,29.8675793,-95.6774241,834,855,891,835,771,446,17,Sector 17,29.8502378,-95.2479191
1,Sector 18,29.8675793,-95.6774241,21726,21806,20330,20284,18675,12508,19,Sector 19,29.9992377,-95.5717887
1,Sector 18,29.8675793,-95.6774241,5141,4924,4491,1682,1837,1318,20,Sector 20,29.9302685,-95.9538541
1,Sector 18,29.8675793,-95.6774241,3517,3799,3669,3690,3667,3012,21,Sector 21,30.0391699,-95.3377273
1,Sector 18,29.8675793,-95.6774241,1277,1252,1279,1228,1110,736,22,Sector 22,29.9578635,-95.085083
1,Sector 18,29.8675793,-95.6774241,133,114,139,121,164,112,23,Sector 23,30.1293246,-94.7878595
1,Sector 18,29.8675793,-95.6774241,1050,938,898,841,824,506,24,Sector 24,30.3016492,-95.3328725
1,Sector 18,29.8675793,-95.6774241,4956,4464,4093,3861,3030,2045,25,Sector 25,30.2596836,-95.7269317
