d_id,d_tract,d_lat,d_lon,h_id,h_tract,h_lat,h_lon,h_Workers
48039661200,48039661200,29.41540313,-95.23766896,48039660500,48039660500,29.5778347,-95.3180474,40
48039661300,48039661300,29.42824844,-95.25816383,48039660500,48039660500,29.5778347,-95.3180474,20
48039661400,48039661400,29.40908579,-95.25990554,48039660500,48039660500,29.5778347,-95.3180474,42
48039661501,48039661501,29.4390005,-95.32438928,48039660500,48039660500,29.5778347,-95.3180474,50
48039661502,48039661502,29.39187761,-95.31191808,48039660500,48039660500,29.5778347,-95.3180474,32
48039661601,48039661601,29.39109375,-95.21233718,48039660500,48039660500,29.5778347,-95.3180474,29
48039661602,48039661602,29.35186939,-95.25161676,48039660500,48039660500,29.5778347,-95.3180474,28
48039661800,48039661800,29.36735064,-95.37414358,48039660500,48039660500,29.5778347,-95.3180474,34
48167720100,48167720100,29.54302214,-95.20982577,48039660500,48039660500,29.5778347,-95.3180474,42
48167720200,48167720200,29.51421329,-95.1823187,48039660500,48039660500,29.5778347,-95.3180474,34
48167720301,48167720301,29.52079563,-95.20028398,48039660500,48039660500,29.5778347,-95.3180474,21
48167720302,48167720302,29.49861842,-95.21590152,48039660500,48039660500,29.5778347,-95.3180474,58
48167720400,48167720400,29.48368761,-95.19566701,48039660500,48039660500,29.5778347,-95.3180474,51
48201320700,48201320700,29.67048131,-95.25065523,48039660500,48039660500,29.5778347,-95.3180474,17
48201330800,48201330800,29.60087515,-95.35986756,48039660500,48039660500,29.5778347,-95.3180474,77
48201332600,48201332600,29.67497881,-95.30697507,48039660500,48039660500,29.5778347,-95.3180474,27
48201333300,48201333300,29.63808005,-95.25343074,48039660500,48039660500,29.5778347,-95.3180474,33
48201333800,48201333800,29.61220377,-95.28380045,48039660500,48039660500,29.5778347,-95.3180474,69
48201333901,48201333901,29.61357191,-95.25804185,48039660500,48039660500,29.5778347,-95.3180474,69
48201350100,48201350100,29.57557131,-95.23603549,48039660500,48039660500,29.5778347,-95.3180474,90
48201350200,48201350200,29.59509256,-95.23243542,48039660500,48039660500,29.5778347,-95.3180474,36
48201350700,48201350700,29.53397173,-95.18698844,48039660500,48039660500,29.5778347,-95.3180474,25
48039660900,48039660900,29.50593098,-95.28771153,48039660601,48039660601,29.57156008,-95.36953288,29
48201331602,48201331602,29.62926617,-95.3230636,48039660601,48039660601,29.57156008,-95.36953288,10
48039660300,48039660300,29.54406129,-95.26109153,48039660602,48039660602,29.53281004,-95.41160511,57
48039660601,48039660601,29.57156008,-95.36953288,48039660602,48039660602,29.53281004,-95.41160511,103
48039660701,48039660701,29.54945946,-95.35809464,48039660602,48039660602,29.53281004,-95.41160511,92
48039660702,48039660702,29.50913634,-95.36363401,48039660602,48039660602,29.53281004,-95.41160511,89
48039660900,48039660900,29.50593098,-95.28771153,48039660602,48039660602,29.53281004,-95.41160511,28
48039661200,48039661200,29.41540313,-95.23766896,48039660602,48039660602,29.53281004,-95.41160511,24
