d_id,d_sector,d_lat,d_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,h_id,h_sector,h_lat,h_lon
1,Sector 23,30.1293246,-94.7878595,119,101,103,122,107,104,87,73,109,130,135,121,109,96,130,106,1,Sector 1,29.1942643,-95.1667898
1,Sector 23,30.1293246,-94.7878595,53,45,44,53,46,51,48,33,43,56,58,48,34,38,32,43,2,Sector 2,29.1829815,-95.6401906
1,Sector 23,30.1293246,-94.7878595,190,151,146,144,139,134,150,98,119,149,164,125,136,138,118,120,3,Sector 3,29.4803873,-95.2866936
1,Sector 23,30.1293246,-94.7878595,129,129,96,118,107,90,102,62,88,106,115,68,70,80,79,54,4,Sector 4,29.5132495,-95.539945
1,Sector 23,30.1293246,-94.7878595,85,82,68,86,43,59,77,70,77,92,121,101,89,101,127,80,5,Sector 5,29.6374507,-95.3108203
1,Sector 23,30.1293246,-94.7878595,97,75,77,73,72,72,64,65,90,121,118,84,65,107,80,93,6,Sector 6,29.6516129,-95.4641014
1,Sector 23,30.1293246,-94.7878595,62,63,65,60,46,55,57,43,49,73,56,48,43,54,33,54,7,Sector 7,29.6242447,-95.8964391
1,Sector 23,30.1293246,-94.7878595,240,262,179,153,148,142,135,120,220,240,281,228,248,248,221,198,8,Sector 8,29.6987915,-95.2098515
1,Sector 23,30.1293246,-94.7878595,203,176,191,187,132,150,176,172,203,226,223,246,196,214,194,196,9,Sector 9,29.6987447,-95.6599566
1,Sector 23,30.1293246,-94.7878595,60,65,62,74,56,58,63,58,70,68,79,70,67,69,70,52,10,Sector 10,29.7392491,-95.5184975
1,Sector 23,30.1293246,-94.7878595,194,188,216,184,176,148,163,124,168,222,232,217,187,214,219,200,11,Sector 11,29.7452418,-95.3666589
1,Sector 23,30.1293246,-94.7878595,998,958,572,605,589,591,490,432,548,552,568,524,457,414,467,414,12,Sector 12,29.6681125,-95.0502741
1,Sector 23,30.1293246,-94.7878595,47,41,41,47,35,29,31,33,42,54,50,34,50,38,44,38,13,Sector 13,29.8194315,-95.5180585
1,Sector 23,30.1293246,-94.7878595,720,636,408,470,470,518,400,218,365,254,261,224,235,296,224,282,14,Sector 14,29.5852766,-94.7047493
1,Sector 23,30.1293246,-94.7878595,101,107,97,101,98,66,81,67,109,134,139,96,132,135,124,111,15,Sector 15,29.8781997,-95.4654402
1,Sector 23,30.1293246,-94.7878595,116,139,111,93,84,97,92,91,100,128,159,135,112,125,133,103,16,Sector 16,29.8814437,-95.3618019
1,Sector 23,30.1293246,-94.7878595,246,234,259,204,185,191,162,141,202,304,282,292,208,224,215,192,17,Sector 17,29.8502378,-95.2479191
1,Sector 23,30.1293246,-94.7878595,133,120,114,139,121,123,164,86,112,135,109,118,103,110,90,88,18,Sector 18,29.8675793,-95.6774241
1,Sector 23,30.1293246,-94.7878595,356,318,376,310,302,272,254,258,252,327,311,318,232,218,187,219,19,Sector 19,29.9992377,-95.5717887
1,Sector 23,30.1293246,-94.7878595,35,30,27,22,29,22,39,22,31,27,39,29,32,32,31,34,20,Sector 20,29.9302685,-95.9538541
1,Sector 23,30.1293246,-94.7878595,763,695,692,625,632,527,257,218,174,271,258,182,159,171,187,177,21,Sector 21,30.0391699,-95.3377273
1,Sector 23,30.1293246,-94.7878595,2344,2267,2037,1810,1917,1920,1035,933,895,1172,1099,1007,901,922,861,774,22,Sector 22,29.9578635,-95.085083
1,Sector 23,30.1293246,-94.7878595,1121,1052,980,975,952,956,804,906,1088,823,800,785,715,691,733,573,24,Sector 24,30.3016492,-95.3328725
1,Sector 23,30.1293246,-94.7878595,523,505,473,491,464,411,382,322,334,330,335,320,299,364,296,305,25,Sector 25,30.2596836,-95.7269317
