h_id,h_sector,h_lat,h_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,Workers2011,Workers2009,d_id,d_sector,d_lat,d_lon
48039660100,48039660100,29.55237873,-95.23175241,148,,,,,,61,48039660500,29.5778347,-95.3180474
48039660100,48039660100,29.55237873,-95.23175241,141,,,,,,62,48201100000,29.75738955,-95.36317172
48039660100,48039660100,29.55237873,-95.23175241,86,,,,,,63,48201313100,29.71082216,-95.38986395
48039660100,48039660100,29.55237873,-95.23175241,56,,,,,,64,48039660300,29.54406129,-95.26109153
48039660100,48039660100,29.55237873,-95.23175241,42,,,,,,65,48201323801,29.67438141,-95.18919358
48039660100,48039660100,29.55237873,-95.23175241,35,,,,,,67,48201411501,29.7354916,-95.44222572
48039660100,48039660100,29.55237873,-95.23175241,28,,,,,,68,48201333300,29.63808005,-95.25343074
48039660100,48039660100,29.55237873,-95.23175241,27,,,,,,69,48167721300,29.52039986,-95.08453765
48039660100,48039660100,29.55237873,-95.23175241,26,,,,,,70,48201341100,29.54230821,-95.12443385
48039660200,48039660200,29.5123357,-95.23714218,166,,,,,,71,48039660500,29.5778347,-95.3180474
48039660200,48039660200,29.5123357,-95.23714218,154,,,,,,72,48201100000,29.75738955,-95.36317172
48039660200,48039660200,29.5123357,-95.23714218,82,,,,,,73,48201313100,29.71082216,-95.38986395
48039660200,48039660200,29.5123357,-95.23714218,60,,,,,,75,48167720301,29.52079563,-95.20028398
48039660200,48039660200,29.5123357,-95.23714218,60,,,,,,76,48201341100,29.54230821,-95.12443385
48039660200,48039660200,29.5123357,-95.23714218,58,,,,,,77,48039660300,29.54406129,-95.26109153
48039660200,48039660200,29.5123357,-95.23714218,48,,,,,,78,48201323801,29.67438141,-95.18919358
48039660200,48039660200,29.5123357,-95.23714218,44,,,,,,79,48039661200,29.41540313,-95.23766896
48039660200,48039660200,29.5123357,-95.23714218,38,,,,,,80,48201343700,29.63781911,-95.06066298
48039660300,48039660300,29.54406129,-95.26109153,370,,,,,,81,48039660500,29.5778347,-95.3180474
48039660300,48039660300,29.54406129,-95.26109153,287,,,,,,82,48201100000,29.75738955,-95.36317172
48039660300,48039660300,29.54406129,-95.26109153,192,,,,,,83,48201313100,29.71082216,-95.38986395
48039660300,48039660300,29.54406129,-95.26109153,104,,,,,,85,48201323801,29.67438141,-95.18919358
48039660300,48039660300,29.54406129,-95.26109153,72,,,,,,86,48201341100,29.54230821,-95.12443385
48039660300,48039660300,29.54406129,-95.26109153,57,,,,,,87,48039660602,29.53281004,-95.41160511
48039660300,48039660300,29.54406129,-95.26109153,52,,,,,,88,48167721300,29.52039986,-95.08453765
48039660300,48039660300,29.54406129,-95.26109153,52,,,,,,89,48201343700,29.63781911,-95.06066298
48039660300,48039660300,29.54406129,-95.26109153,51,,,,,,90,48201430800,29.77588625,-95.55292979
48039660400,48039660400,29.57580351,-95.27143199,315,,,,,,91,48201100000,29.75738955,-95.36317172
48039660400,48039660400,29.57580351,-95.27143199,283,,,,,,92,48201313100,29.71082216,-95.38986395
48039660400,48039660400,29.57580351,-95.27143199,249,,,,,,93,48039660500,29.5778347,-95.3180474
48039660400,48039660400,29.57580351,-95.27143199,106,,,,,,94,48039660300,29.54406129,-95.26109153
48039660400,48039660400,29.57580351,-95.27143199,104,,,,,,95,48201323801,29.67438141,-95.18919358
48039660400,48039660400,29.57580351,-95.27143199,89,,,,,,97,48201341100,29.54230821,-95.12443385
48039660400,48039660400,29.57580351,-95.27143199,59,,,,,,98,48201343700,29.63781911,-95.06066298
48039660400,48039660400,29.57580351,-95.27143199,55,,,,,,99,48201411501,29.7354916,-95.44222572
48039660400,48039660400,29.57580351,-95.27143199,47,,,,,,100,48201411502,29.73498189,-95.42862494
48039660500,48039660500,29.5778347,-95.3180474,267,,,,,,102,48201100000,29.75738955,-95.36317172
48039660500,48039660500,29.5778347,-95.3180474,228,,,,,,103,48201313100,29.71082216,-95.38986395
48039660500,48039660500,29.5778347,-95.3180474,83,,,,,,104,48039660300,29.54406129,-95.26109153
48039660500,48039660500,29.5778347,-95.3180474,53,,,,,,105,48039660400,29.57580351,-95.27143199
48039660500,48039660500,29.5778347,-95.3180474,52,,,,,,106,48201323801,29.67438141,-95.18919358
48039660500,48039660500,29.5778347,-95.3180474,51,,,,,,107,48201411501,29.7354916,-95.44222572
48039660500,48039660500,29.5778347,-95.3180474,48,,,,,,108,48039660900,29.50593098,-95.28771153
48039660500,48039660500,29.5778347,-95.3180474,48,,,,,,109,48201343700,29.63781911,-95.06066298
48039660500,48039660500,29.5778347,-95.3180474,47,,,,,,110,48201341100,29.54230821,-95.12443385
48039660601,48039660601,29.57156008,-95.36953288,670,,,,,,111,48201313100,29.71082216,-95.38986395
48039660601,48039660601,29.57156008,-95.36953288,420,,,,,,112,48201100000,29.75738955,-95.36317172
48039660601,48039660601,29.57156008,-95.36953288,145,,,,,,113,48039660500,29.5778347,-95.3180474
48039660601,48039660601,29.57156008,-95.36953288,141,,,,,,114,48201411501,29.7354916,-95.44222572
48039660601,48039660601,29.57156008,-95.36953288,103,,,,,,116,48039660602,29.53281004,-95.41160511
48039660601,48039660601,29.57156008,-95.36953288,100,,,,,,117,48201313900,29.69186713,-95.38390289
48039660601,48039660601,29.57156008,-95.36953288,100,,,,,,118,48201314400,29.68989676,-95.40724831
48039660601,48039660601,29.57156008,-95.36953288,86,,,,,,119,48201411502,29.73498189,-95.42862494
48039660601,48039660601,29.57156008,-95.36953288,66,,,,,,120,48201430800,29.77588625,-95.55292979
48039660602,48039660602,29.53281004,-95.41160511,2043,,,,,,121,48201313100,29.71082216,-95.38986395
48039660602,48039660602,29.53281004,-95.41160511,1161,,,,,,122,48201100000,29.75738955,-95.36317172
48039660602,48039660602,29.53281004,-95.41160511,478,,,,,,123,48039661200,29.41540313,-95.23766896
48039660602,48039660602,29.53281004,-95.41160511,356,,,,,,125,48201411501,29.7354916,-95.44222572
48039660602,48039660602,29.53281004,-95.41160511,301,,,,,,126,48201313900,29.69186713,-95.38390289
48039660602,48039660602,29.53281004,-95.41160511,294,,,,,,127,48201314400,29.68989676,-95.40724831
48039660602,48039660602,29.53281004,-95.41160511,239,,,,,,128,48201430800,29.77588625,-95.55292979
48039660602,48039660602,29.53281004,-95.41160511,175,,,,,,129,48201411502,29.73498189,-95.42862494
48039660602,48039660602,29.53281004,-95.41160511,170,,,,,,130,48157674000,29.58641203,-95.61995435
48039660701,48039660701,29.54945946,-95.35809464,693,,,,,,131,48201313100,29.71082216,-95.38986395
48039660701,48039660701,29.54945946,-95.35809464,491,,,,,,132,48201100000,29.75738955,-95.36317172
48039660701,48039660701,29.54945946,-95.35809464,274,,,,,,133,48039660500,29.5778347,-95.3180474
48039660701,48039660701,29.54945946,-95.35809464,177,,,,,,134,48201411501,29.7354916,-95.44222572
48039660701,48039660701,29.54945946,-95.35809464,136,,,,,,136,48201314400,29.68989676,-95.40724831
48039660701,48039660701,29.54945946,-95.35809464,114,,,,,,137,48201411502,29.73498189,-95.42862494
48039660701,48039660701,29.54945946,-95.35809464,104,,,,,,138,48201313900,29.69186713,-95.38390289
48039660701,48039660701,29.54945946,-95.35809464,92,,,,,,139,48039660602,29.53281004,-95.41160511
48039660701,48039660701,29.54945946,-95.35809464,89,,,,,,140,48201430800,29.77588625,-95.55292979
48039660702,48039660702,29.50913634,-95.36363401,591,,,,,,141,48201313100,29.71082216,-95.38986395
48039660702,48039660702,29.50913634,-95.36363401,417,,,,,,142,48201100000,29.75738955,-95.36317172
48039660702,48039660702,29.50913634,-95.36363401,210,,,,,,143,48039660500,29.5778347,-95.3180474
48039660702,48039660702,29.50913634,-95.36363401,124,,,,,,144,48039661200,29.41540313,-95.23766896
48039660702,48039660702,29.50913634,-95.36363401,122,,,,,,145,48201411501,29.7354916,-95.44222572
48039660702,48039660702,29.50913634,-95.36363401,89,,,,,,147,48039660602,29.53281004,-95.41160511
48039660702,48039660702,29.50913634,-95.36363401,88,,,,,,148,48201431802,29.74748736,-95.46124555
48039660702,48039660702,29.50913634,-95.36363401,86,,,,,,149,48201314400,29.68989676,-95.40724831
48039660702,48039660702,29.50913634,-95.36363401,83,,,,,,150,48201411502,29.73498189,-95.42862494
48039660801,48039660801,29.55307529,-95.30993583,267,,,,,,151,48039660500,29.5778347,-95.3180474
48039660801,48039660801,29.55307529,-95.30993583,227,,,,,,152,48201100000,29.75738955,-95.36317172
48039660801,48039660801,29.55307529,-95.30993583,216,,,,,,153,48201313100,29.71082216,-95.38986395
48039660801,48039660801,29.55307529,-95.30993583,84,,,,,,154,48039660300,29.54406129,-95.26109153
48039660801,48039660801,29.55307529,-95.30993583,68,,,,,,156,48201323801,29.67438141,-95.18919358
48039660801,48039660801,29.55307529,-95.30993583,55,,,,,,157,48201411501,29.7354916,-95.44222572
48039660801,48039660801,29.55307529,-95.30993583,50,,,,,,158,48201343700,29.63781911,-95.06066298
48039660801,48039660801,29.55307529,-95.30993583,45,,,,,,159,48201313900,29.69186713,-95.38390289
48039660801,48039660801,29.55307529,-95.30993583,41,,,,,,160,48201341100,29.54230821,-95.12443385
48039660802,48039660802,29.53973551,-95.30516281,258,,,,,,161,48039660500,29.5778347,-95.3180474
48039660802,48039660802,29.53973551,-95.30516281,229,,,,,,162,48201100000,29.75738955,-95.36317172
48039660802,48039660802,29.53973551,-95.30516281,222,,,,,,163,48201313100,29.71082216,-95.38986395
48039660802,48039660802,29.53973551,-95.30516281,71,,,,,,164,48039660300,29.54406129,-95.26109153
48039660802,48039660802,29.53973551,-95.30516281,61,,,,,,165,48201323801,29.67438141,-95.18919358
48039660802,48039660802,29.53973551,-95.30516281,55,,,,,,166,48201411501,29.7354916,-95.44222572
48039660802,48039660802,29.53973551,-95.30516281,54,,,,,,167,48201343700,29.63781911,-95.06066298
48039660802,48039660802,29.53973551,-95.30516281,45,,,,,,168,48039661200,29.41540313,-95.23766896
48039660802,48039660802,29.53973551,-95.30516281,45,,,,,,169,48201314400,29.68989676,-95.40724831
