h_id,h_sector,h_lat,h_lon,h_Workers,Workers2016,Workers2015,Workers2014,Workers2013,Workers2012,Workers2011,Workers2010,Workers2009,Workers2008,Workers2007,Workers2006,Workers2005,Workers2004,Workers2003,Workers2002,d_id,d_sector,d_lat,d_lon
1,Sector 20,29.9302685,-95.9538541,71,67,79,57,79,89,80,59,65,65,65,50,46,43,45,56,1,Sector 1,29.1942643,-95.1667898
1,Sector 20,29.9302685,-95.9538541,72,70,76,65,71,81,64,52,51,47,65,36,38,32,25,21,2,Sector 2,29.1829815,-95.6401906
1,Sector 20,29.9302685,-95.9538541,127,116,120,109,104,98,107,113,105,104,100,93,89,69,68,63,3,Sector 3,29.4803873,-95.2866936
1,Sector 20,29.9302685,-95.9538541,450,510,452,436,461,413,397,385,305,289,262,252,239,237,218,224,4,Sector 4,29.5132495,-95.539945
1,Sector 20,29.9302685,-95.9538541,133,121,118,91,107,114,110,136,134,122,121,113,111,103,76,100,5,Sector 5,29.6374507,-95.3108203
1,Sector 20,29.9302685,-95.9538541,350,334,346,328,311,325,328,351,259,285,313,360,342,386,361,331,6,Sector 6,29.6516129,-95.4641014
1,Sector 20,29.9302685,-95.9538541,1364,1281,1147,1138,1057,987,758,771,682,729,647,735,567,546,497,521,7,Sector 7,29.6242447,-95.8964391
1,Sector 20,29.9302685,-95.9538541,209,173,168,146,129,146,143,183,190,176,170,140,121,129,112,101,8,Sector 8,29.6987915,-95.2098515
1,Sector 20,29.9302685,-95.9538541,2265,2284,2236,2210,2381,2308,1859,2013,1481,1910,1799,1582,1464,1422,1349,1548,9,Sector 9,29.6987447,-95.6599566
1,Sector 20,29.9302685,-95.9538541,1644,1571,1497,1514,1476,1553,1386,1573,1224,1459,1327,1020,964,1089,947,971,10,Sector 10,29.7392491,-95.5184975
1,Sector 20,29.9302685,-95.9538541,2859,2659,2664,2487,2602,2660,2592,2930,2059,2248,2124,1691,1756,1768,1751,1722,11,Sector 11,29.7452418,-95.3666589
1,Sector 20,29.9302685,-95.9538541,315,306,300,232,227,233,213,269,238,292,251,225,222,241,207,196,12,Sector 12,29.6681125,-95.0502741
1,Sector 20,29.9302685,-95.9538541,821,779,808,780,779,755,749,835,771,854,816,620,658,673,712,732,13,Sector 13,29.8194315,-95.5180585
1,Sector 20,29.9302685,-95.9538541,77,56,70,50,62,81,89,63,49,70,72,52,54,44,50,62,14,Sector 14,29.5852766,-94.7047493
1,Sector 20,29.9302685,-95.9538541,613,549,563,510,569,538,480,514,531,495,515,417,426,394,477,407,15,Sector 15,29.8781997,-95.4654402
1,Sector 20,29.9302685,-95.9538541,269,239,276,247,261,241,227,296,213,226,211,139,145,158,163,174,16,Sector 16,29.8814437,-95.3618019
1,Sector 20,29.9302685,-95.9538541,109,103,113,105,110,100,94,93,79,71,73,72,56,35,48,64,17,Sector 17,29.8502378,-95.2479191
1,Sector 20,29.9302685,-95.9538541,2182,2220,2167,1995,1991,1804,1571,1719,1489,1544,1485,1484,1405,1296,1358,1295,18,Sector 18,29.8675793,-95.6774241
1,Sector 20,29.9302685,-95.9538541,1553,1581,1490,1340,1402,1161,1148,1359,940,1023,899,816,756,732,781,722,19,Sector 19,29.9992377,-95.5717887
1,Sector 20,29.9302685,-95.9538541,411,415,340,388,349,348,362,374,362,288,316,243,221,199,241,211,21,Sector 21,30.0391699,-95.3377273
1,Sector 20,29.9302685,-95.9538541,206,190,151,163,138,160,132,150,133,121,122,84,99,83,97,99,22,Sector 22,29.9578635,-95.085083
1,Sector 20,29.9302685,-95.9538541,35,30,27,22,29,22,39,22,31,27,39,29,32,32,31,34,23,Sector 23,30.1293246,-94.7878595
1,Sector 20,29.9302685,-95.9538541,163,136,144,136,132,116,102,111,126,119,128,108,114,78,83,107,24,Sector 24,30.3016492,-95.3328725
1,Sector 20,29.9302685,-95.9538541,1520,1358,1342,1074,1069,1092,676,751,806,637,601,679,554,473,592,528,25,Sector 25,30.2596836,-95.7269317
